asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,category_name,price_capped,reviews_capped
B0B8N4T9CN,"Active Noise Cancelling Headphones E600Pro, 80Hours Playtime Wireless Headphone with aptX Low Latency, Bluetooth Headphones with Built-in Microphone, Deep Bass Over-Ear Headphones (Black)",https://m.media-amazon.com/images/I/71LAJv6JNqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B8N4T9CN,4.0,117,99.9,0.0,71,False,0,Headphones & Earbuds,99.9,117.0
B07B4YC8QQ,"Fairfield Poly-Fil Mini, Premium Micro Bead Filler, Polystyrene Stuffing Beads, Soft Pillow Stuffing, Bean Bag Filler, Stuffing for Stuffed Animals, Toys, and Dolls, Ideal for Floam and Slime,8 Liters",https://m.media-amazon.com/images/I/61cQH2DTKiL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B4YC8QQ,4.5,571,24.29,0.0,1,False,50,Beading & Jewelry Making,24.29,571.0
B083L99YZ5,Premium Disposable Bamboo Chopsticks Sleeved and Separated (Bag of 200 Pair),https://m.media-amazon.com/images/I/51uk7BLXwrS._AC_UL320_.jpg,https://www.amazon.com/dp/B083L99YZ5,4.8,0,13.49,0.0,156,False,400,Food Service Equipment & Supplies,13.49,0.0
B0BYHD2N5G,"8pcs License Plate Screw Caps，License Plate Screw Kit for Fastening License Plate Cover, Screw Cover Bolt Cover, Front or Rear License Plate Frames with Screw Silver Caps.",https://m.media-amazon.com/images/I/61TbjDTBQrL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BYHD2N5G,4.0,12,5.99,0.0,24,False,50,Automotive Exterior Accessories,5.99,12.0
B07H3B7YRF,Newborn and Infant Boy Reindeer Appliqued Holiday Three Piece Sweater Set,https://m.media-amazon.com/images/I/71eGJNROe8L._AC_UL320_.jpg,https://www.amazon.com/dp/B07H3B7YRF,4.8,162,27.99,0.0,84,False,0,Boys' Clothing,27.99,162.0
B08X24Q6LW,"Space Brace 2.0, Quick Lace Up Ankle Brace - Pair | For Basketball, Bmx, Mtb, Running and Skateboarding! Ankle Wrap for Men, Women & Children | Made for Sports | Medium",https://m.media-amazon.com/images/I/61bh9S7EKSL._AC_UL320_.jpg,https://www.amazon.com/dp/B08X24Q6LW,4.6,0,89.99,0.0,152,False,0,Occupational Health & Safety Products,89.99,0.0
B081W45M6N,i Play Boys Reusable Absorbent Baby Swim Diapers Aqua Wavy Nautical 4T,https://m.media-amazon.com/images/I/81lPYU3PX+L._AC_UL320_.jpg,https://www.amazon.com/dp/B081W45M6N,5.0,0,8.75,14.99,43,False,0,Baby Boys' Clothing & Shoes,8.75,0.0
B0BL83FGH5,Rhinestone Wedding Bridal Teardrop Dangle Earrings Vintage Crystal Chandelier Earrings for Women Brides,https://m.media-amazon.com/images/I/71BgRaF+EbL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BL83FGH5,4.3,0,12.98,0.0,123,False,50,Women's Jewelry,12.98,0.0
B09DF93JKL,"Busy Board for Toddlers Wooden Montessori Toys,Travel Toy Sensory Board Activity Board for Fine Motor Skills, Educational Learning Toy for 3 Year Old Boys & Girls with Locks,Latches,Keys, Music Board",https://m.media-amazon.com/images/I/81q163UDegL._AC_UL320_.jpg,https://www.amazon.com/dp/B09DF93JKL,4.5,178,56.96,0.0,230,False,50,Baby & Toddler Toys,56.96,178.0
B0772WT1VT,"Xprite RGB Rock Lights for Trucks,4 Pods LED Bluetooth Rocklights with APP Music Modes Multicolor Waterproof Neon Pod Lights Kit for Underglow Jeep UTV Trucks Off Road ATV RZR SUV Cars",https://m.media-amazon.com/images/I/71frfeRdAJL._AC_UL320_.jpg,https://www.amazon.com/dp/B0772WT1VT,4.3,0,14.99,29.99,22,False,0,"Lights, Bulbs & Indicators",14.99,0.0
